Difficulty,Title,Link,Topics
MEDIUM,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Predict the Winner,https://leetcode.com/problems/predict-the-winner,"Array, Math, Dynamic Programming, Recursion, Game Theory"
MEDIUM,House Robber,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
EASY,Lucky Numbers in a Matrix,https://leetcode.com/problems/lucky-numbers-in-a-matrix,"Array, Matrix"
MEDIUM,Rotate Image,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Spiral Matrix,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Fizz Buzz,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
MEDIUM,LRU Cache,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Snakes and Ladders,https://leetcode.com/problems/snakes-and-ladders,"Array, Breadth-First Search, Matrix"
EASY,Number of Valid Words in a Sentence,https://leetcode.com/problems/number-of-valid-words-in-a-sentence,String
MEDIUM,Find Third Transaction,https://leetcode.com/problems/find-third-transaction,Database
EASY,Maximum Difference Between Increasing Elements,https://leetcode.com/problems/maximum-difference-between-increasing-elements,Array
MEDIUM,Merge Intervals,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Maximum Subarray,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Implement Router,https://leetcode.com/problems/implement-router,"Array, Hash Table, Binary Search, Design, Queue, Ordered Set"
MEDIUM,Find the Largest Area of Square Inside Two Rectangles,https://leetcode.com/problems/find-the-largest-area-of-square-inside-two-rectangles,"Array, Math, Geometry"
HARD,Minimum Cost to Make Array Equal,https://leetcode.com/problems/minimum-cost-to-make-array-equal,"Array, Binary Search, Greedy, Sorting, Prefix Sum"
HARD,Word Search II,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,Number of Equal Count Substrings,https://leetcode.com/problems/number-of-equal-count-substrings,"Hash Table, String, Sliding Window, Counting"
HARD,Sum of k-Mirror Numbers,https://leetcode.com/problems/sum-of-k-mirror-numbers,"Math, Enumeration"
EASY,Check if Binary String Has at Most One Segment of Ones,https://leetcode.com/problems/check-if-binary-string-has-at-most-one-segment-of-ones,String
HARD,Max Points on a Line,https://leetcode.com/problems/max-points-on-a-line,"Array, Hash Table, Math, Geometry"
EASY,Happy Number,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
MEDIUM,Stone Game,https://leetcode.com/problems/stone-game,"Array, Math, Dynamic Programming, Game Theory"
EASY,Two Sum,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Cherry Pickup,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
EASY,Valid Parentheses,https://leetcode.com/problems/valid-parentheses,"String, Stack"
HARD,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
MEDIUM,Decode String,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
EASY,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Remove Boxes,https://leetcode.com/problems/remove-boxes,"Array, Dynamic Programming, Memoization"
EASY,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
HARD,Strange Printer,https://leetcode.com/problems/strange-printer,"String, Dynamic Programming"
MEDIUM,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
EASY,Move Zeroes,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,3Sum,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Number of Islands,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,Word Search,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Gas Station,https://leetcode.com/problems/gas-station,"Array, Greedy"
EASY,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
